PROV,EDAD,SEXO,ECIV,NAC,EXREGNA,ANORE,NFORMA,OCUP,SITU,DUCON1,DCOM,PARCO1,HORASP,DISP,RZNDIS,DTANT,ITBU,OCUPA,OFEMP,SIDAC1
Álava,de 40 A 44 años,Varón,Soltero,Española,NA,NA,Primera etapa de educación secundaria,"Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Asalariado sector privado,Indefinido,26,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 40 A 44 años,Varón,Soltero,Española,NA,NA,"Segunda etapa de educación secundaria, orientación profesional","Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Asalariado sector privado,Temporal,37,Completa,45,Sí,NA,NA,Menos de 1 mes,NA,Estaba inscrito como demandante sin recibir subsidio o prestación por desempleo,Trabajando
Álava,de 35 A 39 años,Mujer,Soltero,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,Sí,NA,5,De 3 a < 6 meses,"Trabajadores de servicios de restauración, personales, protección y vendedores de comercio (códigos CNO-2011)",Estaba inscrito como demandante y recibía algún tipo de prestación,Buscando empleo
Álava,de 0 A 4 años,Mujer,NA,Española,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Álava,de 40 A 44 años,Varón,Soltero,Española,NA,NA,Educación superior,"Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Miembro de una cooperativa  ,NA,120,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 40 A 44 años,Varón,Soltero,Española,NA,NA,Primera etapa de educación secundaria,"Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Asalariado sector privado,Indefinido,162,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Mujer,Soltero,Española,NA,NA,Primera etapa de educación secundaria,"Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Asalariado sector privado,Indefinido,181,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 16 A 19 años,Varón,Soltero,Española,NA,NA,Primera etapa de educación secundaria,NA,NA,NA,NA,NA,NA,No,Tener que completar estudios o formación,NA,NA,NA,No estaba inscrito como demandante,NA
Álava,de 45 A 49 años,Mujer,Casado,Española,NA,NA,Primera etapa de educación secundaria,"Operadores de instalaciones y maquinaria, y montadores (códigos CNO-2011)",Asalariado sector privado,Indefinido,150,Completa,40,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Mujer,Casado,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,No,Por enfermedad o incapacidad propia,43,NA,NA,No estaba inscrito como demandante,NA
Álava,de 40 A 44 años,Varón,Soltero,Española,NA,NA,"Segunda etapa de educación secundaria, orientación general","Trabajadores de servicios de restauración, personales, protección y vendedores de comercio (códigos CNO-2011)",Asalariado sector público,Indefinido,207,Completa,35,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
Álava,de 45 A 49 años,Varón,Soltero,Española,NA,NA,Educación superior,NA,NA,NA,NA,NA,NA,No,Por enfermedad o incapacidad propia,40,NA,NA,No estaba inscrito como demandante,NA
Álava,de 40 A 44 años,Varón,Casado,Española,NA,NA,Educación superior,"Empleados contables, administrativos y otros empleados de oficina (códigos CNO-2011). Empleados de tipo administrativo (códigos CNO-1994)",Trabajador independiente o empresario sin asalariados ,NA,132,Completa,NA,NA,NA,NA,NA,NA,No estaba inscrito como demandante,Trabajando
